Unnamed: 0,common_name_x,scientific_name,2005,2016,2022,AphiaID,valid_name,doerr_name,nelson_name,full_name ,common_name_y,species_code,functional_group,2005_name,true_name,taxonomic_rank
131,parasite,Probopyrus pandalicola,FALSE,FALSE,TRUE,157905,Probopyrus pandalicola,,,,,,,,Probopyrus pandalicola,Species
132,harris mud crab,Rhithropanopeus harrisii,TRUE,FALSE,FALSE,107414,Rhithropanopeus harrisii,,,Rhithropanopeus harrisii,,,,Rhithropanopeus harrisii,Rhithropanopeus harrisii,Species
133,roughback shrimp,Rimapenaeus similis,TRUE,FALSE,FALSE,377580,Rimapenaeus similis,,,Rimapenaeus similis,,,,Rimapenaeus similis,Rimapenaeus similis,Species
134,,,,,,158339,Rimapenaeus,,,Rimapenaeus sp.,,,,Rimapenaeus sp.,Rimapenaeus,Genus
135,,,,,,125558,Sciaenidae,,,Sciaenidae,,,,Sciaenidae,Sciaenidae,Family
136,red drum,Sciaenops ocellatus,TRUE,TRUE,TRUE,159335,Sciaenops ocellatus,,,Sciaenops ocellatus,,,,Sciaenops ocellatus,Sciaenops ocellatus,Species
137,purple marsh crab,Sesarma reticulatum,TRUE,TRUE,FALSE,158458,Sesarma reticulatum,S. reticulatum,S. reticulatum,Sesarma reticulatum,purple marsh crab,SESRET,crab,Sesarma reticulatum,Sesarma reticulatum,Species
138,,,,,,158047,Sesarmidae,Sesarmidae,Sesarmidae,Sesarmidae,Sesarmid,SESSPP,crab,,Sesarmidae,Family
139,sea snail,Solenosteira cancellaria,FALSE,FALSE,TRUE,419981,Solenosteira cancellaria,,,,,,,,Solenosteira cancellaria,Species
140,,,,,,125564,Sparidae,,,Sparidae,,,,Sparidae,Sparidae,Family
141,least puffer,Sphoeroides parvus,TRUE,FALSE,FALSE,275282,Sphoeroides parvus,,,Sphoeroides parvus,,,,Sphoeroides parvus,Sphoeroides parvus,Species
142,,,,,,136113,Squilla,,,Squilla sp.,,,,Squilla sp.,Squilla,Genus
143,star drum ,Stellifer lanceolatus,TRUE,TRUE,TRUE,159337,Stellifer lanceolatus,,,Stellifer lanceolatus,,,,Stellifer lanceolatus,Stellifer lanceolatus,Species
